ID,date,time,height,type,location_id,location_name
Tide0,2021-04-18,3:27:00,2.37,high,11840,Cape Woolamai
Tide1,2021-04-18,9:29:00,0.43,low,11840,Cape Woolamai
Tide2,2021-04-18,16:14:00,2.7,high,11840,Cape Woolamai
Tide3,2021-04-18,22:10:00,0.93,low,11840,Cape Woolamai
Tide4,2021-04-19,3:57:00,2.34,high,11840,Cape Woolamai
Tide5,2021-04-19,9:58:00,0.46,low,11840,Cape Woolamai
Tide6,2021-04-19,16:49:00,2.64,high,11840,Cape Woolamai
Tide7,2021-04-19,22:39:00,1,low,11840,Cape Woolamai
Tide8,2021-04-20,4:28:00,2.29,high,11840,Cape Woolamai
Tide9,2021-04-20,10:30:00,0.5,low,11840,Cape Woolamai
Tide10,2021-04-20,17:26:00,2.55,high,11840,Cape Woolamai
Tide11,2021-04-20,23:10:00,1.06,low,11840,Cape Woolamai
Tide12,2021-04-21,5:02:00,2.23,high,11840,Cape Woolamai
Tide13,2021-04-21,11:07:00,0.56,low,11840,Cape Woolamai
Tide14,2021-04-21,18:08:00,2.46,high,11840,Cape Woolamai
Tide15,2021-04-21,23:48:00,1.11,low,11840,Cape Woolamai
Tide16,2021-04-22,5:43:00,2.17,high,11840,Cape Woolamai
Tide17,2021-04-22,11:51:00,0.63,low,11840,Cape Woolamai
Tide18,2021-04-22,18:56:00,2.37,high,11840,Cape Woolamai
Tide19,2021-04-23,0:33:00,1.14,low,11840,Cape Woolamai
Tide20,2021-04-23,6:38:00,2.11,high,11840,Cape Woolamai
Tide21,2021-04-23,12:43:00,0.73,low,11840,Cape Woolamai
Tide22,2021-04-23,19:53:00,2.3,high,11840,Cape Woolamai
Tide23,2021-04-24,1:26:00,1.13,low,11840,Cape Woolamai
Tide24,2021-04-24,7:56:00,2.09,high,11840,Cape Woolamai
Tide25,2021-04-24,13:44:00,0.84,low,11840,Cape Woolamai
Tide26,2021-04-24,20:57:00,2.27,high,11840,Cape Woolamai
Tide27,2021-04-25,2:32:00,1.07,low,11840,Cape Woolamai
Tide28,2021-04-25,9:24:00,2.15,high,11840,Cape Woolamai
Tide29,2021-04-25,14:56:00,0.94,low,11840,Cape Woolamai
Tide30,2021-04-25,22:02:00,2.28,high,11840,Cape Woolamai
Tide31,2021-04-26,3:44:00,0.93,low,11840,Cape Woolamai
Tide32,2021-04-26,10:41:00,2.32,high,11840,Cape Woolamai
Tide33,2021-04-26,16:16:00,0.98,low,11840,Cape Woolamai
Tide34,2021-04-26,23:01:00,2.33,high,11840,Cape Woolamai
Tide35,2021-04-27,4:52:00,0.73,low,11840,Cape Woolamai
Tide36,2021-04-27,11:47:00,2.53,high,11840,Cape Woolamai
Tide37,2021-04-27,17:30:00,0.96,low,11840,Cape Woolamai
Tide38,2021-04-27,23:57:00,2.39,high,11840,Cape Woolamai
Tide39,2021-04-28,5:50:00,0.49,low,11840,Cape Woolamai
Tide40,2021-04-28,12:47:00,2.74,high,11840,Cape Woolamai
Tide41,2021-04-28,18:33:00,0.9,low,11840,Cape Woolamai
Tide42,2021-04-29,0:48:00,2.46,high,11840,Cape Woolamai
Tide43,2021-04-29,6:44:00,0.29,low,11840,Cape Woolamai
Tide44,2021-04-29,13:42:00,2.92,high,11840,Cape Woolamai
Tide45,2021-04-29,19:29:00,0.85,low,11840,Cape Woolamai
Tide46,2021-04-30,1:38:00,2.52,high,11840,Cape Woolamai
Tide47,2021-04-30,7:33:00,0.14,low,11840,Cape Woolamai
Tide48,2021-04-30,14:35:00,3.02,high,11840,Cape Woolamai
Tide49,2021-04-30,20:19:00,0.8,low,11840,Cape Woolamai
Tide50,2021-05-01,2:27:00,2.56,high,11840,Cape Woolamai
Tide51,2021-05-01,8:22:00,0.06,low,11840,Cape Woolamai
Tide52,2021-05-01,15:24:00,3.05,high,11840,Cape Woolamai
Tide53,2021-05-01,21:07:00,0.78,low,11840,Cape Woolamai
Tide54,2021-05-02,3:13:00,2.57,high,11840,Cape Woolamai
Tide55,2021-05-02,9:10:00,0.07,low,11840,Cape Woolamai
Tide56,2021-05-02,16:12:00,3.01,high,11840,Cape Woolamai
Tide57,2021-05-02,21:54:00,0.78,low,11840,Cape Woolamai
Tide58,2021-05-03,4:00:00,2.55,high,11840,Cape Woolamai
Tide59,2021-05-03,9:58:00,0.15,low,11840,Cape Woolamai
Tide60,2021-05-03,16:58:00,2.9,high,11840,Cape Woolamai
Tide61,2021-05-03,22:40:00,0.8,low,11840,Cape Woolamai
Tide62,2021-05-04,4:47:00,2.48,high,11840,Cape Woolamai
Tide63,2021-05-04,10:47:00,0.29,low,11840,Cape Woolamai
Tide64,2021-05-04,17:44:00,2.75,high,11840,Cape Woolamai
Tide65,2021-05-04,23:27:00,0.85,low,11840,Cape Woolamai
Tide66,2021-05-05,5:36:00,2.38,high,11840,Cape Woolamai
Tide67,2021-05-05,11:35:00,0.48,low,11840,Cape Woolamai
Tide68,2021-05-05,18:32:00,2.59,high,11840,Cape Woolamai
Tide69,2021-05-06,0:15:00,0.91,low,11840,Cape Woolamai
Tide70,2021-05-06,6:31:00,2.26,high,11840,Cape Woolamai
Tide71,2021-05-06,12:26:00,0.69,low,11840,Cape Woolamai
Tide72,2021-05-06,19:24:00,2.42,high,11840,Cape Woolamai
Tide73,2021-05-07,1:07:00,0.98,low,11840,Cape Woolamai
Tide74,2021-05-07,7:38:00,2.14,high,11840,Cape Woolamai
Tide75,2021-05-07,13:21:00,0.9,low,11840,Cape Woolamai
Tide76,2021-05-07,20:20:00,2.29,high,11840,Cape Woolamai
Tide77,2021-05-08,2:06:00,1.03,low,11840,Cape Woolamai
Tide78,2021-05-08,8:57:00,2.09,high,11840,Cape Woolamai
Tide79,2021-05-08,14:25:00,1.09,low,11840,Cape Woolamai
Tide80,2021-05-08,21:21:00,2.19,high,11840,Cape Woolamai
Tide81,2021-05-09,3:16:00,1.03,low,11840,Cape Woolamai
Tide82,2021-05-09,10:12:00,2.12,high,11840,Cape Woolamai
Tide83,2021-05-09,15:43:00,1.21,low,11840,Cape Woolamai
Tide84,2021-05-09,22:19:00,2.14,high,11840,Cape Woolamai
Tide85,2021-05-10,4:25:00,0.96,low,11840,Cape Woolamai
Tide86,2021-05-10,11:16:00,2.22,high,11840,Cape Woolamai
Tide87,2021-05-10,17:00:00,1.23,low,11840,Cape Woolamai
Tide88,2021-05-10,23:12:00,2.13,high,11840,Cape Woolamai
Tide89,2021-05-11,5:21:00,0.85,low,11840,Cape Woolamai
Tide90,2021-05-11,12:08:00,2.36,high,11840,Cape Woolamai
Tide91,2021-05-11,18:03:00,1.19,low,11840,Cape Woolamai
Tide92,2021-05-11,23:57:00,2.15,high,11840,Cape Woolamai
Tide93,2021-05-12,6:06:00,0.73,low,11840,Cape Woolamai
Tide94,2021-05-12,12:51:00,2.5,high,11840,Cape Woolamai
Tide95,2021-05-12,18:52:00,1.11,low,11840,Cape Woolamai
Tide96,2021-05-13,0:36:00,2.19,high,11840,Cape Woolamai
Tide97,2021-05-13,6:45:00,0.61,low,11840,Cape Woolamai
Tide98,2021-05-13,13:28:00,2.63,high,11840,Cape Woolamai
Tide99,2021-05-13,19:33:00,1.04,low,11840,Cape Woolamai
Tide100,2021-05-14,1:12:00,2.24,high,11840,Cape Woolamai
Tide101,2021-05-14,7:19:00,0.52,low,11840,Cape Woolamai
Tide102,2021-05-14,14:04:00,2.73,high,11840,Cape Woolamai
Tide103,2021-05-14,20:10:00,0.99,low,11840,Cape Woolamai
Tide104,2021-05-15,1:47:00,2.29,high,11840,Cape Woolamai
Tide105,2021-05-15,7:51:00,0.46,low,11840,Cape Woolamai
Tide106,2021-05-15,14:39:00,2.79,high,11840,Cape Woolamai
Tide107,2021-05-15,20:44:00,0.97,low,11840,Cape Woolamai
Tide108,2021-05-16,2:21:00,2.32,high,11840,Cape Woolamai
Tide109,2021-05-16,8:22:00,0.43,low,11840,Cape Woolamai
Tide110,2021-05-16,15:14:00,2.8,high,11840,Cape Woolamai
Tide111,2021-05-16,21:15:00,0.98,low,11840,Cape Woolamai
Tide112,2021-05-17,2:55:00,2.32,high,11840,Cape Woolamai
Tide113,2021-05-17,8:54:00,0.43,low,11840,Cape Woolamai
Tide114,2021-05-17,15:50:00,2.77,high,11840,Cape Woolamai
Tide115,2021-05-17,21:45:00,1.01,low,11840,Cape Woolamai
Tide116,2021-05-18,3:29:00,2.3,high,11840,Cape Woolamai
Tide117,2021-05-18,9:27:00,0.46,low,11840,Cape Woolamai
Tide118,2021-05-18,16:27:00,2.7,high,11840,Cape Woolamai
Tide119,2021-05-18,22:16:00,1.04,low,11840,Cape Woolamai
Tide120,2021-05-19,4:06:00,2.26,high,11840,Cape Woolamai
Tide121,2021-05-19,10:03:00,0.52,low,11840,Cape Woolamai
Tide122,2021-05-19,17:06:00,2.61,high,11840,Cape Woolamai
Tide123,2021-05-19,22:49:00,1.05,low,11840,Cape Woolamai
Tide124,2021-05-20,4:47:00,2.21,high,11840,Cape Woolamai
Tide125,2021-05-20,10:44:00,0.59,low,11840,Cape Woolamai
Tide126,2021-05-20,17:46:00,2.53,high,11840,Cape Woolamai
Tide127,2021-05-20,23:30:00,1.04,low,11840,Cape Woolamai
Tide128,2021-05-21,5:37:00,2.16,high,11840,Cape Woolamai
Tide129,2021-05-21,11:30:00,0.7,low,11840,Cape Woolamai
Tide130,2021-05-21,18:31:00,2.45,high,11840,Cape Woolamai
Tide131,2021-05-22,0:15:00,0.99,low,11840,Cape Woolamai
Tide132,2021-05-22,6:41:00,2.14,high,11840,Cape Woolamai
Tide133,2021-05-22,12:22:00,0.82,low,11840,Cape Woolamai
Tide134,2021-05-22,19:21:00,2.38,high,11840,Cape Woolamai
Tide135,2021-05-23,1:07:00,0.91,low,11840,Cape Woolamai
Tide136,2021-05-23,7:56:00,2.18,high,11840,Cape Woolamai
Tide137,2021-05-23,13:22:00,0.95,low,11840,Cape Woolamai
Tide138,2021-05-23,20:15:00,2.33,high,11840,Cape Woolamai
Tide139,2021-05-24,2:06:00,0.8,low,11840,Cape Woolamai
Tide140,2021-05-24,9:13:00,2.29,high,11840,Cape Woolamai
Tide141,2021-05-24,14:32:00,1.06,low,11840,Cape Woolamai
Tide142,2021-05-24,21:15:00,2.31,high,11840,Cape Woolamai
Tide143,2021-05-25,3:11:00,0.65,low,11840,Cape Woolamai
Tide144,2021-05-25,10:24:00,2.46,high,11840,Cape Woolamai
Tide145,2021-05-25,15:48:00,1.12,low,11840,Cape Woolamai
Tide146,2021-05-25,22:16:00,2.31,high,11840,Cape Woolamai
Tide147,2021-05-26,4:16:00,0.48,low,11840,Cape Woolamai
Tide148,2021-05-26,11:27:00,2.65,high,11840,Cape Woolamai
Tide149,2021-05-26,17:02:00,1.11,low,11840,Cape Woolamai
Tide150,2021-05-26,23:15:00,2.35,high,11840,Cape Woolamai
Tide151,2021-05-27,5:17:00,0.31,low,11840,Cape Woolamai
Tide152,2021-05-27,12:26:00,2.83,high,11840,Cape Woolamai
Tide153,2021-05-27,18:06:00,1.05,low,11840,Cape Woolamai
Tide154,2021-05-28,0:12:00,2.4,high,11840,Cape Woolamai
Tide155,2021-05-28,6:13:00,0.18,low,11840,Cape Woolamai
Tide156,2021-05-28,13:22:00,2.96,high,11840,Cape Woolamai
Tide157,2021-05-28,19:04:00,0.97,low,11840,Cape Woolamai
Tide158,2021-05-29,1:08:00,2.46,high,11840,Cape Woolamai
Tide159,2021-05-29,7:07:00,0.1,low,11840,Cape Woolamai
Tide160,2021-05-29,14:14:00,3.02,high,11840,Cape Woolamai
Tide161,2021-05-29,19:58:00,0.9,low,11840,Cape Woolamai
Tide162,2021-05-30,2:01:00,2.5,high,11840,Cape Woolamai
Tide163,2021-05-30,7:59:00,0.09,low,11840,Cape Woolamai
Tide164,2021-05-30,15:05:00,3.02,high,11840,Cape Woolamai
Tide165,2021-05-30,20:49:00,0.85,low,11840,Cape Woolamai
Tide166,2021-05-31,2:53:00,2.52,high,11840,Cape Woolamai
Tide167,2021-05-31,8:50:00,0.15,low,11840,Cape Woolamai
Tide168,2021-05-31,15:53:00,2.96,high,11840,Cape Woolamai
Tide169,2021-05-31,21:38:00,0.81,low,11840,Cape Woolamai
Tide170,2021-06-01,3:44:00,2.49,high,11840,Cape Woolamai
Tide171,2021-06-01,9:41:00,0.26,low,11840,Cape Woolamai
Tide172,2021-06-01,16:40:00,2.86,high,11840,Cape Woolamai
Tide173,2021-06-01,22:27:00,0.8,low,11840,Cape Woolamai
Tide174,2021-06-02,4:35:00,2.43,high,11840,Cape Woolamai
Tide175,2021-06-02,10:31:00,0.42,low,11840,Cape Woolamai
Tide176,2021-06-02,17:25:00,2.73,high,11840,Cape Woolamai
Tide177,2021-06-02,23:14:00,0.8,low,11840,Cape Woolamai
Tide178,2021-06-03,5:28:00,2.33,high,11840,Cape Woolamai
Tide179,2021-06-03,11:19:00,0.61,low,11840,Cape Woolamai
Tide180,2021-06-03,18:08:00,2.59,high,11840,Cape Woolamai
Tide181,2021-06-04,0:02:00,0.82,low,11840,Cape Woolamai
Tide182,2021-06-04,6:26:00,2.23,high,11840,Cape Woolamai
Tide183,2021-06-04,12:08:00,0.82,low,11840,Cape Woolamai
Tide184,2021-06-04,18:52:00,2.44,high,11840,Cape Woolamai
Tide185,2021-06-05,0:51:00,0.85,low,11840,Cape Woolamai
Tide186,2021-06-05,7:28:00,2.15,high,11840,Cape Woolamai
Tide187,2021-06-05,13:00:00,1.03,low,11840,Cape Woolamai
Tide188,2021-06-05,19:36:00,2.3,high,11840,Cape Woolamai
Tide189,2021-06-06,1:44:00,0.88,low,11840,Cape Woolamai
Tide190,2021-06-06,8:37:00,2.12,high,11840,Cape Woolamai
Tide191,2021-06-06,13:58:00,1.21,low,11840,Cape Woolamai
Tide192,2021-06-06,20:24:00,2.18,high,11840,Cape Woolamai
Tide193,2021-06-07,2:41:00,0.88,low,11840,Cape Woolamai
Tide194,2021-06-07,9:43:00,2.15,high,11840,Cape Woolamai
Tide195,2021-06-07,15:08:00,1.32,low,11840,Cape Woolamai
Tide196,2021-06-07,21:14:00,2.09,high,11840,Cape Woolamai
Tide197,2021-06-08,3:40:00,0.85,low,11840,Cape Woolamai
Tide198,2021-06-08,10:42:00,2.23,high,11840,Cape Woolamai
Tide199,2021-06-08,16:23:00,1.35,low,11840,Cape Woolamai
Tide200,2021-06-08,22:08:00,2.04,high,11840,Cape Woolamai
Tide201,2021-06-09,4:33:00,0.79,low,11840,Cape Woolamai
Tide202,2021-06-09,11:31:00,2.35,high,11840,Cape Woolamai
Tide203,2021-06-09,17:26:00,1.31,low,11840,Cape Woolamai
Tide204,2021-06-09,22:58:00,2.04,high,11840,Cape Woolamai
Tide205,2021-06-10,5:19:00,0.7,low,11840,Cape Woolamai
Tide206,2021-06-10,12:14:00,2.48,high,11840,Cape Woolamai
Tide207,2021-06-10,18:18:00,1.24,low,11840,Cape Woolamai
